millis,latitude,longitude,altitude,speed,heading
0,31.28414079,-91.62045279,23.2494011,0,318.9
100,31.28414078,-91.62045283,23.2494011,0,318.9
200,31.28414078,-91.62045284,23.2494011,0,318.9
300,31.28414073,-91.62045285,23.2494011,0,318.9
400,31.28414072,-91.62045284,23.2494011,0,318.9
500,31.28414072,-91.62045283,23.2494011,0,318.8
600,31.28414072,-91.62045286,23.2494011,0,318.9
700,31.28414071,-91.62045291,23.2494011,0,318.9
800,31.28414071,-91.62045293,23.2494011,0,318.9
900,31.28414071,-91.62045294,23.2494011,0,318.9
1000,31.28414071,-91.62045294,23.2494011,0,318.9
1100,31.28414072,-91.62045294,23.2494011,0,318.9
1200,31.28414072,-91.62045288,23.2494011,0,318.9
1300,31.28414072,-91.62045287,23.2494011,0,318.9
1400,31.28414072,-91.62045287,23.2494011,0,318.9
1500,31.28414072,-91.62045286,23.2494011,0,318.9
1600,31.28414083,-91.62045294,23.2494011,0,318.9
1700,31.28414089,-91.62045299,23.2494011,0,318.9
1800,31.28414091,-91.62045301,23.2494011,0,318.9
1900,31.28414092,-91.62045302,23.2494011,0,318.9
2000,31.28414089,-91.62045299,23.2494011,0,318.9
2100,31.28414089,-91.62045299,23.2494011,0,318.9
2200,31.28414088,-91.62045298,23.2494011,0,318.9
2300,31.28414087,-91.62045298,23.2494011,0,318.9
2400,31.28414082,-91.62045281,23.2494011,0,318.9
2500,31.28414082,-91.62045275,23.2494011,0,318.9
2600,31.28414081,-91.62045272,23.2494011,0,318.9
2700,31.28414081,-91.6204527,23.2494011,0,318.9
2800,31.28414086,-91.62045269,23.2494011,0,318.9
2900,31.28414098,-91.62045271,23.2494011,0,319
3000,31.284141,-91.62045272,23.2494011,0,319
3100,31.28414102,-91.62045272,23.2494011,0,319
3200,31.28414106,-91.62045273,23.2494011,0,319
3300,31.28414116,-91.62045278,23.2494011,0,319
3400,31.28414118,-91.62045274,23.2494011,0,319
3500,31.28414119,-91.6204527,23.2494011,0,319
3600,31.28414118,-91.62045268,23.2494011,0,319
3700,31.28414111,-91.6204526,23.2494011,0,319
3800,31.2841411,-91.6204526,23.2494011,0,319
3900,31.28414109,-91.6204526,23.2494011,0,319
4000,31.28414112,-91.62045265,23.2494011,0,319
4100,31.28414119,-91.62045284,23.2494011,0,319
4200,31.28414121,-91.62045287,23.2494011,0,319
4300,31.28414122,-91.62045289,23.2494011,0,319
4400,31.28414127,-91.6204529,23.2494011,0,319
4500,31.28414132,-91.6204529,23.2494011,0,319
4600,31.28414137,-91.62045288,23.2494011,0,319
4700,31.28414138,-91.62045287,23.2494011,0,319
4800,31.28414138,-91.6204529,23.2494011,0,319
4900,31.28414138,-91.62045295,23.2494011,0,319
5000,31.28414137,-91.62045301,23.1494011,0,319.1
5100,31.28414139,-91.62045304,23.1494011,0,319.5
5200,31.28414133,-91.6204531,23.1494011,-0.1,320
5300,31.2841412,-91.62045325,23.1494011,-0.1,320.1
5400,31.28414109,-91.6204534,23.1494011,-0.2,320.1
5500,31.28414094,-91.62045364,23.2494011,-0.2,320.1
5600,31.28414075,-91.62045384,23.2494011,-0.2,319.9
5700,31.28414056,-91.62045402,23.2494011,-0.2,319.7
5800,31.28414002,-91.62045394,23.3494011,-0.1,319.5
5900,31.28413979,-91.62045404,23.3494011,-0.1,319.6
